Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,0,9,0.0,0,0.1
0,100,9,6.6,24,0.21415959252210698
0,200,9,14.2,38,0.20314029658962035
0,300,9,21.6,58,0.21765177701000687
0,400,9,29.4,78,0.22830662376602265
0,500,9,37.3,97,0.2407798218680344
0,600,9,45.1,126,0.30710632333233173
0,700,9,53.7,166,0.39334583774486465
0,800,9,62.1,203,0.39933851903156725
0,900,9,71.2,256,0.5007289277882553
0,1000,9,80.3,299,0.4841625409724647
0,1100,9,89.4,353,0.5342353168390712
0,1200,9,98.6,406,0.5268876900386222
0,1300,9,107.8,462,0.5633518175193866
0,1400,9,117.1,513,0.5492257216643938
0,1500,9,125.5,569,0.5955205245949382
0,1600,9,134.5,622,0.5786635895220188
0,1700,9,144.1,704,0.7250997355507535
0,1800,9,153.6,777,0.7475053169053567
0,1900,9,162.3,843,0.7227422219325896
0,2000,9,171.7,921,0.7648436829626745
0,2100,9,180.7,1008,0.8483408023177984
0,2200,9,190.3,1098,0.8917252856324853
0,2300,9,199.6,1190,0.9300945795685912
0,2400,9,209.2,1281,0.9357423598596337
0,2500,9,218.4,1378,0.9556979899840434
0,2600,9,227.7,1462,0.9000160162712014
0,2700,9,237.3,1560,0.948427572098277
0,2800,9,246.7,1656,0.9644814963976829
0,2900,9,256.1,1752,0.9690724567763512
0,3000,9,265.8,1851,0.9796455391690394
0,3100,9,275.1,1950,0.9823035887554051
0,3200,9,284.2,2048,0.9823282879175012
0,3300,9,293.2,2146,0.9885053798403285
0,3400,9,302.7,2246,0.9955757657721723
0,3500,9,312.3,2346,0.9983141582976665
0,3600,9,321.7,2446,0.9993445718577139
0,3700,9,331.3,2546,0.9997502509952574
0,3800,9,340.8,2646,0.9999038725873668
0,3900,9,350.1,2746,0.9999622497049313
0,4000,9,359.5,2846,0.9999853232923749
0,4100,9,368.8,2946,0.9999942362950551
0,4200,9,378.6,3046,0.9999978474620801
0,4300,9,388.2,3146,0.9999991797816292
0,4400,9,398.0,3246,0.9999996936777362
0,4500,9,407.7,3346,0.9999998844440162
0,4600,9,417.2,3446,0.999999955522955
0,4700,9,426.7,3546,0.9999999828809597
0,4800,9,436.2,3646,0.9999999934109484
0,4900,9,445.8,3746,0.9999999974892608
0,5000,9,455.5,3846,0.9999999990528574
1,0,8,0.0,0,0.1
1,100,8,4.2,9,0.13026078689137857
1,200,8,8.2,22,0.1703628959234963
1,300,8,13.6,36,0.19308928745183077
1,400,8,18.3,65,0.2872383154156698
1,500,8,23.2,97,0.3698434461879834
1,600,8,29.1,137,0.450817630487025
1,700,8,34.9,193,0.5783842677903154
1,800,8,41.1,255,0.6631006916774107
1,900,8,48.2,328,0.75370177694678
1,1000,8,54.8,397,0.7771447801184522
1,1100,8,62.5,478,0.8416589535223205
1,1200,8,70.0,564,0.8639589887945005
1,1300,8,77.7,653,0.9038183306583987
1,1400,8,85.6,743,0.9146008664723464
1,1500,8,93.9,841,0.949128499931436
1,1600,8,101.5,938,0.9708283796900996
1,1700,8,108.6,1037,0.985709106962408
1,1800,8,116.6,1137,0.9936044936202618
1,1900,8,124.9,1237,0.9972228707792207
1,2000,8,132.9,1337,0.9987571702060795
1,2100,8,141.5,1437,0.9994763532755075
1,2200,8,149.4,1537,0.9997632888232104
1,2300,8,157.8,1637,0.9998982404657197
1,2400,8,166.1,1737,0.9999558128224155
1,2500,8,173.5,1837,0.9999789960651508
1,2600,8,181.1,1937,0.9999902146705505
1,2700,8,189.4,2037,0.9999957509034098
1,2800,8,197.8,2137,0.9999981733600581
1,2900,8,205.2,2237,0.9999991317248933
1,3000,8,212.7,2337,0.9999995914013333
1,3100,8,220.0,2437,0.9999998038148409
1,3200,8,228.4,2537,0.9999999156621555
1,3300,8,236.2,2637,0.9999999614905184
1,3400,8,244.8,2737,0.9999999837746375
1,3500,8,252.6,2837,0.9999999925913415
1,3600,8,260.5,2937,0.999999996650963
1,3700,8,269.3,3037,0.999999998617016
1,3800,8,277.2,3137,0.999999999374831
1,3900,8,285.1,3237,0.9999999997173963
1,4000,8,292.2,3337,0.9999999998615552
1,4100,8,299.5,3437,0.9999999999335266
1,4200,8,307.7,3537,0.9999999999708439
1,4300,8,315.7,3637,0.999999999986952
1,4400,8,323.3,3737,0.9999999999939211
1,4500,8,331.5,3837,0.9999999999973339
1,4600,8,339.2,3937,0.9999999999987702
1,4700,8,347.9,4037,0.999999999999487
1,4800,8,356.1,4137,0.9999999999997752
1,4900,8,364.5,4237,0.9999999999999033
1,5000,8,372.6,4337,0.9999999999999569
2,0,7,0.0,0,0.1
2,100,7,4.6,6,0.11252451042594953
2,200,7,9.5,28,0.2306741384674758
2,300,7,15.2,48,0.27508898717334396
2,400,7,20.9,78,0.3791900366059642
2,500,7,27.7,127,0.5555441231995535
2,600,7,35.7,187,0.6370754759002502
2,700,7,44.0,258,0.7449981066923371
2,800,7,53.1,342,0.827670985895738
2,900,7,61.9,427,0.8918734288977501
2,1000,7,71.3,519,0.9271432289608614
2,1100,7,80.5,614,0.9437634568975075
2,1200,7,89.9,711,0.968815482954593
2,1300,7,99.6,810,0.9841887376270785
2,1400,7,108.8,907,0.9937280231251463
2,1500,7,118.1,1006,0.9975369255116393
2,1600,7,127.7,1106,0.9990614525645334
2,1700,7,137.3,1206,0.9996423692045108
2,1800,7,146.4,1306,0.9998567028288247
2,1900,7,156.1,1406,0.9999459430556324
2,2000,7,165.5,1506,0.9999789835293698
2,2100,7,175.4,1606,0.999992229587929
2,2200,7,184.9,1706,0.9999970091988625
2,2300,7,194.7,1806,0.9999988830426054
2,2400,7,204.1,1906,0.9999995657449277
2,2500,7,213.2,2006,0.9999998260006568
2,2600,7,222.5,2106,0.999999931668539
2,2700,7,231.9,2206,0.9999999734338265
2,2800,7,241.4,2306,0.9999999897747841
2,2900,7,251.0,2406,0.9999999961037109
2,3000,7,260.6,2506,0.9999999985153304
2,3100,7,269.7,2606,0.9999999994051159
2,3200,7,279.2,2706,0.9999999997710314
2,3300,7,288.5,2806,0.9999999999100815
2,3400,7,298.2,2906,0.9999999999660794
2,3500,7,307.4,3006,0.9999999999865442
2,3600,7,316.9,3106,0.9999999999948211
