Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,0,7,0.0,0,0.1,0.945459221126617
0,100,7,6.6,6,0.10066048455367561,0.945459221126617
0,200,7,13.9,11,0.08360103705011122,0.945459221126617
0,300,7,21.9,17,0.0799832825970351,0.945459221126617
0,400,7,29.6,24,0.07916558564142188,0.945459221126617
0,500,7,37.7,31,0.07371738022541166,0.945459221126617
0,600,7,46.1,34,0.05034810306513579,0.945459221126617
0,700,7,54.3,38,0.04422492622499796,0.945459221126617
0,800,7,62.9,42,0.04677589808935681,0.945459221126617
0,900,7,71.5,46,0.04865855336831085,0.945459221126617
0,1000,7,80.1,47,0.025499884033605483,0.945459221126617
0,1100,7,89.3,48,0.018460375676967518,0.945459221126617
0,1200,7,98.7,50,0.016033857417070627,0.945459221126617
0,1300,7,107.7,53,0.02586333560027866,0.945459221126617
0,1400,7,116.6,55,0.023779143417506247,0.945459221126617
0,1500,7,125.4,60,0.036481515737207613,0.945459221126617
0,1600,7,133.9,70,0.08834652614809659,0.945459221126617
0,1700,7,143.2,79,0.09297778198726049,0.945459221126617
0,1800,7,152.1,89,0.10381440720279633,0.945459221126617
0,1900,7,161.5,100,0.11260200840471922,0.945459221126617
0,2000,7,170.1,111,0.11587858516199173,0.945459221126617
0,2100,7,178.9,119,0.1116707009785093,0.945459221126617
0,2200,7,188.2,125,0.07058555616355466,0.945459221126617
0,2300,7,197.1,127,0.043780258351547856,0.945459221126617
0,2400,7,206.1,128,0.024145386347835814,0.945459221126617
0,2500,7,215.1,128,0.009772409847639857,0.945459221126617
0,2600,7,224.2,128,0.003915654648301792,0.945459221126617
0,2700,7,233.4,128,0.00155325329659456,0.945459221126617
0,2800,7,242.1,128,0.000647894381834698,0.945459221126617
0,2900,7,251.5,128,0.000251890916267973,0.945459221126617
0,3000,7,260.3,128,0.00010401827103447322,0.945459221126617
0,3100,7,269.6,128,4.084912218594885e-05,0.945459221126617
0,3200,7,279.0,128,1.5881481773346012e-05,0.945459221126617
0,3300,7,287.7,128,6.624497651941489e-06,0.945459221126617
0,3400,7,296.6,128,2.708228285528486e-06,0.945459221126617
0,3500,7,306.0,128,1.0529156038872105e-06,0.945459221126617
0,3600,7,315.5,128,4.0526308734195265e-07,0.945459221126617
0,3700,7,324.6,128,1.6238269950568028e-07,0.945459221126617
0,3800,7,334.1,128,6.250046431987532e-08,0.945459221126617
0,3900,7,343.1,128,2.5295936217494314e-08,0.945459221126617
0,4000,7,351.8,128,1.0551463173775848e-08,0.945459221126617
0,4100,7,361.2,128,4.102239194116489e-09,0.945459221126617
0,4200,7,370.1,128,1.6770781428617202e-09,0.945459221126617
0,4300,7,379.2,128,6.719794736451624e-10,0.945459221126617
0,4400,7,388.2,128,2.7197157796774834e-10,0.945459221126617
0,4500,7,397.4,128,1.0788508895738313e-10,0.945459221126617
0,4600,7,406.4,128,4.366454487629811e-11,0.945459221126617
0,4700,7,415.6,128,1.7320755879946016e-11,0.945459221126617
0,4800,7,424.6,128,7.010263695570225e-12,0.945459221126617
0,4900,7,433.8,128,2.7808160251987556e-12,0.945459221126617
0,5000,7,442.6,128,1.1483370630896724e-12,0.945459221126617
1,0,2,0.0,0,0.1,0.9984459595493456
1,100,2,7.2,8,0.10463630132265736,0.9984459595493456
1,200,2,14.9,23,0.16030689918613303,0.9984459595493456
1,300,2,23.1,41,0.19909126640565883,0.9984459595493456
1,400,2,31.6,64,0.23417424530974187,0.9984459595493456
1,500,2,40.6,89,0.2636176868458638,0.9984459595493456
1,600,2,49.4,129,0.3814943419770178,0.9984459595493456
1,700,2,58.9,167,0.3945643542781694,0.9984459595493456
1,800,2,68.9,209,0.418858098351334,0.9984459595493456
1,900,2,78.7,242,0.36339716391064875,0.9984459595493456
1,1000,2,88.3,292,0.46490339672557685,0.9984459595493456
1,1100,2,97.9,348,0.5494669060802218,0.9984459595493456
1,1200,2,107.6,393,0.4842812156159518,0.9984459595493456
1,1300,2,117.2,437,0.44541589287161204,0.9984459595493456
1,1400,2,127.0,465,0.3392977885780413,0.9984459595493456
1,1500,2,136.8,494,0.3131291093522178,0.9984459595493456
1,1600,2,146.4,525,0.3265176079680204,0.9984459595493456
1,1700,2,156.3,558,0.33246000805621506,0.9984459595493456
1,1800,2,165.9,594,0.36435570122258104,0.9984459595493456
1,1900,2,175.4,634,0.42040564259297714,0.9984459595493456
1,2000,2,185.2,677,0.43509997193343686,0.9984459595493456
1,2100,2,195.1,722,0.43064371185622285,0.9984459595493456
1,2200,2,204.9,771,0.4635305003243979,0.9984459595493456
1,2300,2,214.6,804,0.39207603954168624,0.9984459595493456
1,2400,2,224.4,846,0.4216138667339571,0.9984459595493456
1,2500,2,234.2,878,0.3582396409154418,0.9984459595493456
1,2600,2,244.0,913,0.34321160057460276,0.9984459595493456
1,2700,2,253.8,935,0.2626809327591634,0.9984459595493456
1,2800,2,263.7,950,0.1927356082846389,0.9984459595493456
1,2900,2,273.6,963,0.14818569346187613,0.9984459595493456
1,3000,2,283.5,980,0.1497668574161615,0.9984459595493456
1,3100,2,293.4,983,0.07508245478879298,0.9984459595493456
1,3200,2,303.1,989,0.06530725972986873,0.9984459595493456
1,3300,2,312.8,994,0.05834226208349202,0.9984459595493456
1,3400,2,322.6,998,0.04447932282856042,0.9984459595493456
1,3500,2,332.3,1005,0.06963939046659606,0.9984459595493456
1,3600,2,342.0,1010,0.06004562850265581,0.9984459595493456
1,3700,2,351.9,1011,0.02889036605443384,0.9984459595493456
1,3800,2,361.7,1013,0.022504606842280426,0.9984459595493456
1,3900,2,371.5,1018,0.038059701842993815,0.9984459595493456
1,4000,2,381.3,1023,0.05488866395978197,0.9984459595493456
1,4100,2,391.0,1028,0.05277033194799239,0.9984459595493456
1,4200,2,400.9,1032,0.04499365654103535,0.9984459595493456
1,4300,2,410.7,1041,0.08190100460608817,0.9984459595493456
1,4400,2,420.4,1043,0.04496726915659938,0.9984459595493456
1,4500,2,430.2,1051,0.0722516584043302,0.9984459595493456
1,4600,2,440.2,1054,0.04449085267917235,0.9984459595493456
1,4700,2,450.1,1062,0.06960151962866983,0.9984459595493456
1,4800,2,460.0,1080,0.1518328624806653,0.9984459595493456
1,4900,2,469.7,1094,0.14390687574817645,0.9984459595493456
1,5000,2,479.4,1102,0.10569068886628187,0.9984459595493456
