Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,0,7,0.0,0,0.1,0.9976895218070714
0,100,7,6.8,12,0.1355965393528811,0.9976895218070714
0,200,7,13.5,27,0.15938402007351427,0.9976895218070714
0,300,7,21.1,45,0.1801869649164572,0.9976895218070714
0,400,7,29.3,60,0.18489911273537885,0.9976895218070714
0,500,7,37.1,91,0.2892666194423296,0.9976895218070714
0,600,7,45.5,118,0.2830339462633686,0.9976895218070714
0,700,7,53.8,152,0.33720445372274255,0.9976895218070714
0,800,7,62.1,182,0.3347142053231182,0.9976895218070714
0,900,7,70.2,213,0.31761301449290213,0.9976895218070714
0,1000,7,79.4,249,0.33740732396925427,0.9976895218070714
0,1100,7,88.0,289,0.39182843850796123,0.9976895218070714
0,1200,7,96.8,326,0.399430130360752,0.9976895218070714
0,1300,7,105.5,368,0.4186753954663262,0.9976895218070714
0,1400,7,114.0,407,0.4023156504169855,0.9976895218070714
0,1500,7,122.4,449,0.42362843503605996,0.9976895218070714
0,1600,7,130.7,485,0.39811153330223964,0.9976895218070714
0,1700,7,139.2,523,0.40717856850320344,0.9976895218070714
0,1800,7,146.8,560,0.39564110235387884,0.9976895218070714
0,1900,7,154.8,587,0.3245389203326089,0.9976895218070714
0,2000,7,162.7,620,0.3389334808099725,0.9976895218070714
0,2100,7,171.6,666,0.42377475112829205,0.9976895218070714
0,2200,7,180.6,719,0.5049671977513753,0.9976895218070714
0,2300,7,189.6,770,0.5201539719489412,0.9976895218070714
0,2400,7,198.8,819,0.5029600527491463,0.9976895218070714
0,2500,7,208.4,875,0.5173484871642023,0.9976895218070714
0,2600,7,218.0,935,0.5652457711700737,0.9976895218070714
0,2700,7,226.7,993,0.5832101746841087,0.9976895218070714
0,2800,7,236.2,1053,0.5837726488784764,0.9976895218070714
0,2900,7,245.4,1110,0.5814452149404862,0.9976895218070714
0,3000,7,255.1,1165,0.5494017636594438,0.9976895218070714
0,3100,7,264.6,1219,0.5413397546234743,0.9976895218070714
0,3200,7,274.2,1272,0.5424175411679926,0.9976895218070714
0,3300,7,283.8,1337,0.6401372343591386,0.9976895218070714
0,3400,7,293.4,1402,0.6569203336719562,0.9976895218070714
0,3500,7,303.0,1470,0.6780606132056575,0.9976895218070714
0,3600,7,312.4,1542,0.7145818238534822,0.9976895218070714
0,3700,7,322.0,1610,0.6933739420418296,0.9976895218070714
0,3800,7,331.7,1671,0.6619601503663239,0.9976895218070714
0,3900,7,341.4,1729,0.616706606951253,0.9976895218070714
0,4000,7,350.5,1776,0.5327108866507764,0.9976895218070714
0,4100,7,360.0,1830,0.5513875976728261,0.9976895218070714
0,4200,7,369.8,1888,0.5809166083053275,0.9976895218070714
0,4300,7,379.2,1952,0.6372926597014548,0.9976895218070714
0,4400,7,388.7,2012,0.6081448177290047,0.9976895218070714
0,4500,7,397.9,2075,0.6178896961748228,0.9976895218070714
0,4600,7,407.3,2134,0.5941732831589427,0.9976895218070714
0,4700,7,416.9,2200,0.6237366328728516,0.9976895218070714
