Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,0,1,0.0,0,0
0,100,1,9.9,99,0
0,200,1,18.9,185,0
0,300,1,28.8,285,0
0,400,1,38.7,385,0
0,500,1,48.7,485,0
0,600,1,58.6,585,0
0,700,1,68.6,685,0
0,800,1,78.6,785,0
0,900,1,88.6,885,0
0,1000,1,98.5,985,0
0,1100,1,108.4,1085,0
0,1200,1,118.4,1185,0
0,1300,1,128.3,1285,0
0,1400,1,138.3,1385,0
0,1500,1,148.3,1485,0
0,1600,1,158.3,1585,0
0,1700,1,168.3,1685,0
0,1800,1,178.3,1785,0
0,1900,1,188.2,1885,0
0,2000,1,198.2,1985,0
0,2100,1,208.2,2085,0
0,2200,1,218.1,2185,0
0,2300,1,228.0,2285,0
0,2400,1,238.0,2385,0
0,2500,1,248.0,2485,0
0,2600,1,258.0,2585,0
0,2700,1,268.0,2685,0
0,2800,1,277.9,2785,0
0,2900,1,287.9,2885,0
0,3000,1,297.9,2985,0
0,3100,1,307.7,3085,0
0,3200,1,317.7,3185,0
0,3300,1,327.7,3285,0
0,3400,1,337.7,3385,0
0,3500,1,347.6,3485,0
0,3600,1,357.4,3585,0
0,3700,1,367.3,3685,0
0,3800,1,377.2,3785,0
0,3900,1,387.2,3885,0
0,4000,1,397.2,3985,0
0,4100,1,407.2,4085,0
0,4200,1,417.0,4185,0
0,4300,1,426.8,4285,0
0,4400,1,436.7,4385,0
0,4500,1,446.7,4485,0
0,4600,1,456.4,4585,0
0,4700,1,466.4,4685,0
0,4800,1,476.4,4785,0
0,4900,1,486.4,4885,0
0,5000,1,496.4,4985,0
1,0,4,0.0,0,0
1,100,4,8.8,9,0
1,200,4,17.6,9,0
1,300,4,25.9,12,0
1,400,4,34.6,12,0
1,500,4,43.3,12,0
1,600,4,52.1,12,0
1,700,4,61.1,12,0
1,800,4,69.8,12,0
1,900,4,78.5,12,0
1,1000,4,87.1,12,0
1,1100,4,95.6,12,0
1,1200,4,104.8,12,0
1,1300,4,113.1,12,0
1,1400,4,122.1,12,0
