Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,0,6,0.0,0,0,0.9499413235743962
0,100,6,8.8,84,0,0.9499413235743962
0,200,6,18.1,184,0,0.9499413235743962
0,300,6,27.7,284,0,0.9499413235743962
0,400,6,36.9,384,0,0.9499413235743962
0,500,6,46.4,484,0,0.9499413235743962
0,600,6,56.4,584,0,0.9499413235743962
0,700,6,65.9,684,0,0.9499413235743962
0,800,6,74.9,784,0,0.9499413235743962
0,900,6,83.8,884,0,0.9499413235743962
0,1000,6,93.1,984,0,0.9499413235743962
0,1100,6,102.8,1084,0,0.9499413235743962
0,1200,6,112.8,1184,0,0.9499413235743962
0,1300,6,122.1,1284,0,0.9499413235743962
0,1400,6,131.4,1384,0,0.9499413235743962
0,1500,6,140.7,1484,0,0.9499413235743962
0,1600,6,150.2,1584,0,0.9499413235743962
0,1700,6,159.5,1684,0,0.9499413235743962
0,1800,6,168.5,1784,0,0.9499413235743962
0,1900,6,178.0,1884,0,0.9499413235743962
0,2000,6,187.4,1984,0,0.9499413235743962
0,2100,6,196.7,2084,0,0.9499413235743962
0,2200,6,206.4,2184,0,0.9499413235743962
0,2300,6,215.8,2284,0,0.9499413235743962
0,2400,6,224.8,2384,0,0.9499413235743962
0,2500,6,234.1,2484,0,0.9499413235743962
0,2600,6,243.2,2584,0,0.9499413235743962
0,2700,6,252.5,2684,0,0.9499413235743962
0,2800,6,262.0,2784,0,0.9499413235743962
0,2900,6,271.2,2884,0,0.9499413235743962
0,3000,6,281.1,2984,0,0.9499413235743962
0,3100,6,290.7,3084,0,0.9499413235743962
0,3200,6,300.4,3184,0,0.9499413235743962
0,3300,6,309.6,3284,0,0.9499413235743962
0,3400,6,319.5,3384,0,0.9499413235743962
0,3500,6,329.1,3484,0,0.9499413235743962
0,3600,6,338.9,3584,0,0.9499413235743962
0,3700,6,348.4,3684,0,0.9499413235743962
0,3800,6,358.3,3784,0,0.9499413235743962
0,3900,6,367.4,3884,0,0.9499413235743962
0,4000,6,376.8,3984,0,0.9499413235743962
0,4100,6,385.8,4084,0,0.9499413235743962
0,4200,6,395.2,4184,0,0.9499413235743962
0,4300,6,404.4,4284,0,0.9499413235743962
0,4400,6,414.1,4384,0,0.9499413235743962
0,4500,6,423.6,4484,0,0.9499413235743962
0,4600,6,433.3,4584,0,0.9499413235743962
0,4700,6,443.1,4684,0,0.9499413235743962
0,4800,6,452.7,4784,0,0.9499413235743962
0,4900,6,461.8,4884,0,0.9499413235743962
0,5000,6,471.2,4984,0,0.9499413235743962
1,0,6,0.0,0,0,0.957269749797588
1,100,6,8.8,83,0,0.957269749797588
1,200,6,18.5,183,0,0.957269749797588
1,300,6,28.2,283,0,0.957269749797588
1,400,6,37.6,383,0,0.957269749797588
1,500,6,47.3,483,0,0.957269749797588
1,600,6,57.2,583,0,0.957269749797588
1,700,6,66.5,683,0,0.957269749797588
1,800,6,76.3,783,0,0.957269749797588
1,900,6,85.8,883,0,0.957269749797588
1,1000,6,95.6,983,0,0.957269749797588
1,1100,6,105.3,1083,0,0.957269749797588
1,1200,6,114.6,1183,0,0.957269749797588
1,1300,6,124.1,1283,0,0.957269749797588
1,1400,6,133.6,1383,0,0.957269749797588
1,1500,6,143.1,1483,0,0.957269749797588
1,1600,6,153.0,1583,0,0.957269749797588
1,1700,6,162.4,1683,0,0.957269749797588
1,1800,6,171.9,1783,0,0.957269749797588
1,1900,6,181.6,1883,0,0.957269749797588
1,2000,6,191.1,1983,0,0.957269749797588
1,2100,6,200.8,2083,0,0.957269749797588
1,2200,6,210.6,2183,0,0.957269749797588
1,2300,6,219.5,2283,0,0.957269749797588
1,2400,6,229.3,2383,0,0.957269749797588
1,2500,6,238.5,2483,0,0.957269749797588
1,2600,6,248.1,2583,0,0.957269749797588
1,2700,6,257.4,2683,0,0.957269749797588
1,2800,6,267.0,2783,0,0.957269749797588
1,2900,6,276.8,2883,0,0.957269749797588
1,3000,6,286.7,2983,0,0.957269749797588
1,3100,6,296.4,3083,0,0.957269749797588
1,3200,6,305.8,3183,0,0.957269749797588
1,3300,6,315.5,3283,0,0.957269749797588
1,3400,6,324.9,3383,0,0.957269749797588
1,3500,6,334.1,3483,0,0.957269749797588
1,3600,6,343.9,3583,0,0.957269749797588
1,3700,6,353.2,3683,0,0.957269749797588
1,3800,6,362.8,3783,0,0.957269749797588
1,3900,6,372.4,3883,0,0.957269749797588
1,4000,6,381.7,3983,0,0.957269749797588
1,4100,6,391.3,4083,0,0.957269749797588
1,4200,6,400.7,4183,0,0.957269749797588
1,4300,6,410.2,4283,0,0.957269749797588
1,4400,6,419.8,4383,0,0.957269749797588
1,4500,6,429.3,4483,0,0.957269749797588
1,4600,6,439.0,4583,0,0.957269749797588
1,4700,6,448.6,4683,0,0.957269749797588
1,4800,6,458.1,4783,0,0.957269749797588
